configuration_id,TARGET_CLASS,criterion,Coverage,BranchCoverage,CBranchCoverage,Total_Branches,Covered_Branches,Covered_Branches_Real,Total_Goals,Covered_Goals;
CMX,weka.core.Memory,BRANCH;CBRANCH,0.7931034482758621,0.7931034482758621,0.7931034482758621,18,12,12,58,46
CMX,weka.core.Memory,BRANCH;CBRANCH,0.7586206896551724,0.7586206896551724,0.7586206896551724,18,11,11,58,44
CMX,weka.core.Memory,BRANCH;CBRANCH,0.7586206896551724,0.7586206896551724,0.7586206896551724,18,11,11,58,44
CMX,weka.core.Memory,BRANCH;CBRANCH,0.7586206896551724,0.7586206896551724,0.7586206896551724,18,11,11,58,44
CMX,weka.core.Memory,BRANCH;CBRANCH,0.7931034482758621,0.7931034482758621,0.7931034482758621,18,12,12,58,46
CMX,weka.core.Memory,BRANCH;CBRANCH,0.7931034482758621,0.7931034482758621,0.7931034482758621,18,12,12,58,46
CMX,weka.core.Memory,BRANCH;CBRANCH,0.7586206896551724,0.7586206896551724,0.7586206896551724,18,11,11,58,44
CMX,weka.core.Memory,BRANCH;CBRANCH,0.7586206896551724,0.7586206896551724,0.7586206896551724,18,11,11,58,44
CMX,com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,BRANCH;CBRANCH,0.0,0.0,0.0,90,0,0,186,0
CMX,com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,BRANCH;CBRANCH,0.0,0.0,0.0,90,0,0,186,0
CMX,com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,BRANCH;CBRANCH,0.0,0.0,0.0,90,0,0,186,0
CMX,com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,BRANCH;CBRANCH,0.0,0.0,0.0,90,0,0,186,0
CMX,com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,BRANCH;CBRANCH,0.0,0.0,0.0,90,0,0,186,0
CMX,com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,BRANCH;CBRANCH,0.0,0.0,0.0,90,0,0,186,0
CMX,com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,BRANCH;CBRANCH,0.0,0.0,0.0,90,0,0,186,0
CMX,com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,BRANCH;CBRANCH,0.0,0.0,0.0,90,0,0,186,0
CMX,com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,BRANCH;CBRANCH,0.0,0.0,0.0,90,0,0,186,0
CMX,com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,BRANCH;CBRANCH,0.0,0.0,0.0,90,0,0,186,0
